School_ID,YEAR,METRIC_NAME,METRIC_VALUE,STD,Carroll College,School,Distance
100690,2023,Endowment Asset Value,174864.0,2666154934.261173,70468918,Amridge University,0.02636532974760502
100937,2023,Endowment Asset Value,52826730.0,2666154934.261173,70468918,Birmingham-Southern College,0.006617090317329546
101189,2023,Endowment Asset Value,20078568.0,2666154934.261173,70468918,Faulkner University,0.01890000815498888
101435,2023,Endowment Asset Value,53910160.0,2666154934.261173,70468918,Huntingdon College,0.006210726086174978
101453,2023,Endowment Asset Value,15040187.0,2666154934.261173,70468918,Heritage Christian University,0.020789763673415344
101675,2023,Endowment Asset Value,27539903.0,2666154934.261173,70468918,Miles College,0.016101470491584995
101693,2023,Endowment Asset Value,23843738.0,2666154934.261173,70468918,University of Mobile,0.017487798402428725
101912,2023,Endowment Asset Value,13631785.0,2666154934.261173,70468918,Oakwood University,0.021318015794813638
102049,2023,Endowment Asset Value,443471031.0,2666154934.261173,70468918,Samford University,0.13990263964286978
102058,2023,Endowment Asset Value,157622.0,2666154934.261173,70468918,Selma University,0.026371796738618343
102234,2023,Endowment Asset Value,10946191.0,2666154934.261173,70468918,Spring Hill College,0.022325306843615427
102270,2023,Endowment Asset Value,20713966.0,2666154934.261173,70468918,Stillman College,0.01866168817146696
102298,2023,Endowment Asset Value,76169770.0,2666154934.261173,70468918,Talladega College,0.0021382298255595497
102377,2023,Endowment Asset Value,150040938.0,2666154934.261173,70468918,Tuskegee University,0.029845234790171888
102395,2023,Endowment Asset Value,1000000.0,2666154934.261173,70468918,United States Sports Academy,0.026055844357466332
102580,2023,Endowment Asset Value,1748628.0,2666154934.261173,70468918,Alaska Bible College,0.02577505497408136
102669,2023,Endowment Asset Value,96508897.0,2666154934.261173,70468918,Alaska Pacific University,0.009766866383260667
104586,2023,Endowment Asset Value,79952000.0,2666154934.261173,70468918,Embry-Riddle Aeronautical University-Prescott,0.0035568383060333624
104665,2023,Endowment Asset Value,221031.0,2666154934.261173,70468918,The School of Architecture,0.026348013799680638
105589,2023,Endowment Asset Value,2499569.0,2666154934.261173,70468918,Prescott College,0.025493398049215476
105899,2023,Endowment Asset Value,527700.0,2666154934.261173,70468918,Arizona Christian University,0.026232990851816962
106342,2023,Endowment Asset Value,97187764.0,2666154934.261173,70468918,Lyon College,0.010021490370515227
106546,2023,Endowment Asset Value,9128638.0,2666154934.261173,70468918,Baptist Health College Little Rock,0.023007020039140454
106713,2023,Endowment Asset Value,3895248.0,2666154934.261173,70468918,Central Baptist College,0.024969917968570142
106810,2023,Endowment Asset Value,1581037.0,2666154934.261173,70468918,Crowley's Ridge College,0.02583791366164163
107044,2023,Endowment Asset Value,212023311.0,2666154934.261173,70468918,Harding University,0.053093085919714796
107080,2023,Endowment Asset Value,203248997.0,2666154934.261173,70468918,Hendrix College,0.04980208662809581
107141,2023,Endowment Asset Value,160259289.0,2666154934.261173,70468918,John Brown University,0.03367785189306041
107512,2023,Endowment Asset Value,129521253.0,2666154934.261173,70468918,Ouachita Baptist University,0.022148875986595352
107558,2023,Endowment Asset Value,134710303.0,2666154934.261173,70468918,University of the Ozarks,0.024095143224601143
107600,2023,Endowment Asset Value,16416186.0,2666154934.261173,70468918,Philander Smith University,0.02027366500926126
107877,2023,Endowment Asset Value,13119341.0,2666154934.261173,70468918,Williams Baptist University,0.02151021917857611
108852,2023,Endowment Asset Value,1141829.0,2666154934.261173,70468918,American Academy of Dramatic Arts-Los Angeles,0.026002648274156454
108861,2023,Endowment Asset Value,8700794.0,2666154934.261173,70468918,Berkeley School of Theology,0.023167492333717947
108870,2023,Endowment Asset Value,23368287.0,2666154934.261173,70468918,American Film Institute Conservatory,0.017666126748576302
109651,2023,Endowment Asset Value,137353000.0,2666154934.261173,70468918,Art Center College of Design,0.025086344810840662
109785,2023,Endowment Asset Value,90358715.0,2666154934.261173,70468918,Azusa Pacific University,0.007460105466643381
110097,2023,Endowment Asset Value,146197897.0,2666154934.261173,70468918,Biola University,0.02840381780775449
110316,2023,Endowment Asset Value,1599818.0,2666154934.261173,70468918,California Institute of Integral Studies,0.025830869434856962
110361,2023,Endowment Asset Value,133075937.0,2666154934.261173,70468918,California Baptist University,0.02348213833917692
110370,2023,Endowment Asset Value,39736000.0,2666154934.261173,70468918,California College of the Arts,0.011527056288090963
110404,2023,Endowment Asset Value,3598221000.0,2666154934.261173,70468918,California Institute of Technology,1.323160944874941
110413,2023,Endowment Asset Value,133747441.0,2666154934.261173,70468918,California Lutheran University,0.023734000671470853
111081,2023,Endowment Asset Value,221602626.0,2666154934.261173,70468918,California Institute of the Arts,0.056686018527232054
111391,2023,Endowment Asset Value,31874001.0,2666154934.261173,70468918,California Western School of Law,0.014475871789759722
111948,2023,Endowment Asset Value,668428000.0,2666154934.261173,70468918,Chapman University,0.22427769456155122
111966,2023,Endowment Asset Value,107439500.0,2666154934.261173,70468918,Charles R Drew University of Medicine and Science,0.013866629251328578
112075,2023,Endowment Asset Value,56461674.0,2666154934.261173,70468918,Concordia University-Irvine,0.005253724687939635
112084,2023,Endowment Asset Value,693502.0,2666154934.261173,70468918,San Diego Christian College,0.02617080316802208
112127,2023,Endowment Asset Value,25892532.0,2666154934.261173,70468918,Church Divinity School of the Pacific,0.01671935318805946
112251,2023,Endowment Asset Value,199994170.0,2666154934.261173,70468918,Claremont Graduate University,0.04858129223307616
112260,2023,Endowment Asset Value,1206468000.0,2666154934.261173,70468918,Claremont McKenna College,0.4260814206263675
112525,2023,Endowment Asset Value,62536571.0,2666154934.261173,70468918,Western University of Health Sciences,0.002975201065049192
113698,2023,Endowment Asset Value,30807092.0,2666154934.261173,70468918,Dominican University of California,0.014876039456795793
113704,2023,Endowment Asset Value,8066390.0,2666154934.261173,70468918,Dominican School of Philosophy & Theology,0.02340543949569554
114549,2023,Endowment Asset Value,9377720.0,2666154934.261173,70468918,Fielding Graduate University,0.022913596361169155
114734,2023,Endowment Asset Value,5291942.0,2666154934.261173,70468918,Franciscan School of Theology,0.02444605718986898
114813,2023,Endowment Asset Value,19748127.0,2666154934.261173,70468918,Fresno Pacific University,0.019023947313870342
114840,2023,Endowment Asset Value,134000000.0,2666154934.261173,70468918,Fuller Theological Seminary,0.023828728474703333
